DPTO,DISTRITO,CODE,MONTO
ALTO PARAGUAY,BAHIA NEGRA,1704,6
ALTO PARAGUAY,CARMELO PERALTA,1705,5
ALTO PARAGUAY,FILADELFIA,1604,1
ALTO PARAGUAY,FUERTE OLIMPO,1701,5
ALTO PARAGUAY,PUERTO CASADO,1702,11
ALTO PARANA,CAMBYRETA,703,0
ALTO PARANA,CARLOS ANTONIO LOPEZ,709,2
ALTO PARANA,CIUDAD DEL ESTE,1001,7866
ALTO PARANA,DOMINGO MARTINEZ DE IRALA,506,0
ALTO PARANA,DOMINGO MARTINEZ DE IRALA,1003,16
ALTO PARANA,DR. JUAN LEON MALLORQUIN,1004,140
ALTO PARANA,DR. RAUL PEÑA,1022,21
ALTO PARANA,HERNANDARIAS,1005,1504
ALTO PARANA,IRUÑA,1019,9
ALTO PARANA,ITAKYRY,1006,230
ALTO PARANA,JUAN E. O'LEARY,1007,289
ALTO PARANA,LOS CEDRALES,1010,66
ALTO PARANA,MBARACAYU,1017,55
ALTO PARANA,MINGA GUAZU,1011,823
ALTO PARANA,MINGA PORA,1016,56
ALTO PARANA,ÑACUNDAY,1008,43
ALTO PARANA,NARANJAL,1014,22
ALTO PARANA,PRESIDENTE FRANCO,1002,1284
ALTO PARANA,SAN ALBERTO,1018,105
ALTO PARANA,SAN CRISTOBAL,1012,26
ALTO PARANA,SANTA FE DEL PARANA,1020,13
ALTO PARANA,SANTA RITA,1013,188
ALTO PARANA,SANTA ROSA DEL MONDAY,1015,26
ALTO PARANA,TAVAPY,1021,28
ALTO PARANA,YGUAZU,1009,35
AMAMBAY,BELLA VISTA,1302,98
AMAMBAY,CAPITAN BADO,1303,92
AMAMBAY,KARAPAI,1305,9
AMAMBAY,PEDRO JUAN CABALLERO,1301,1454
AMAMBAY,SGTO.JOSE FELIX LOPEZ (PUENTESIÑO),109,2
ASUNCION,ASUNCION,0,49
BOQUERON,BAHIA NEGRA,1704,0
BOQUERON,FILADELFIA,1604,18
BOQUERON,LOMA PLATA,1605,22
BOQUERON,MARISCAL ESTIGARRIBIA,1602,16
BOQUERON,PUERTO CASADO,1702,1
CAAGUAZU,3 DE FEBRERO,518,32
CAAGUAZU,CAAGUAZU,502,931
CAAGUAZU,CARAYAO,503,57
CAAGUAZU,CORONEL OVIEDO,501,882
CAAGUAZU,DOCTOR J. EULOGIO ESTIGARRIBIA,512,410
CAAGUAZU,DOCTOR JUAN MANUEL FRUTOS,506,111
CAAGUAZU,DR. CECILIO BAEZ,504,35
CAAGUAZU,JOSE DOMINGO OCAMPOS,515,61
CAAGUAZU,LA PASTORA,517,13
CAAGUAZU,MCAL. FRANCISCO SOLANO LOPEZ,516,25
CAAGUAZU,NUEVA LONDRES,508,10
CAAGUAZU,NUEVA TOLEDO,522,10
CAAGUAZU,PASO YOBAI,417,1
CAAGUAZU,R.I. 3 CORRALES,513,32
CAAGUAZU,RAUL ARSENIO OVIEDO,514,63
CAAGUAZU,REPATRIACION,507,106
CAAGUAZU,SAN JOAQUIN,509,70
CAAGUAZU,SAN JOSE DE LOS ARROYOS,510,79
CAAGUAZU,SANTA ROSA DEL MBUTUY,505,81
CAAGUAZU,SIMON BOLIVAR,519,26
CAAGUAZU,TEMBIAPORA,521,27
CAAGUAZU,VAQUERIA,520,60
CAAGUAZU,YHU,511,61
CAAZAPA,3 DE MAYO,611,37
CAAZAPA,ABAI,602,62
CAAZAPA,BUENA VISTA,603,16
